compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-84,ef3735f65b17552a33392b9a27af1f4347a265ec,281add500556b90c52aa5bbea349204deb435fbc,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,171.0,3.0,1.0,3.0,0.0,0.0,0.0
effect-85,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixObservableCommandTest.testExecutionTimeoutFallbackFailureUsingSemaphoreIsolation,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545617103577,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0
effect-84,5601488a877cf64d0110e85f62008f4f95619d3a,09949d6ead2b7a95b8c528da50d52a9392b8611c,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,86.0,2.0,1.0,2.0,0.0,0.0,0.0
effect-84,ef3735f65b17552a33392b9a27af1f4347a265ec,281add500556b90c52aa5bbea349204deb435fbc,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadUsingQueueSize,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,92.0,2.0,1.0,2.0,0.0,0.0,0.0
effect-85,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixObservableCommandTest.testExecutionTimeoutWithNoFallbackUsingSemaphoreIsolation,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714328289032,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,1.0,0.0,1.0,0.0,0.0,0.0
effect-85,157e79669533fa6549090e083914359120269b02,a305f235ebd1a2e8c466886e1d187cf664beea58,com.netflix.hystrix.HystrixObservableCommandTest.testQueueKnownFailureWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666567325592,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0
effect-85,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixObservableCommandTest.testExecutionTimeoutWithNoFallback([ExecutionIsolationStrategy]),"['FeatureEnvy', 'LongMethod', 'MessageChain', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.4285714328289032,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,0.0
effect-2066,3f8a830963eb9676b91c2a24c17ad4f8331069d1,b7797917ab63aa3983e30d01b28752f92a3198d3,io.netty.example.localecho.LocalEcho.run,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'IntensiveCoupling']",netty,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4705882370471954,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,1.0
effect-234,1b318a23db0f48d2ce59806e6b26b5b52e57b4d6,7892f827504b6a51228ed79a054d936bdc330000,"info.archinnov.achilles.internal.statement.prepared.PreparedStatementBinder.bindForCollectionAndMapUpdate([PersistentStateHolder, PreparedStatement, DirtyCheckChangeSet])","['FeatureEnvy', 'LongMethod', 'MessageChain', 'ShotgunSurgery']",achilles,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.4117647111415863,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
effect-84,deacde2fea889ddcf650e19406dc137a2a12eaeb,261f6954493a14f0de9e3f37a41cf13b04c26794,com.netflix.hystrix.HystrixCommandTest.testRequestCache3,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636255264282,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,1.0,0.0,1.0,1.0,0.0,0.0
