compositeID,commit_before,commit_after,element,smellTypes,project
effect-84,7b54e5f3c6a0604a9dd7419534e86b7e534f66af,bd40f20464c17602eab0c843f54dd7954cdbf8b9,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,['LongMethod'],hystrix
effect-84,ef3735f65b17552a33392b9a27af1f4347a265ec,281add500556b90c52aa5bbea349204deb435fbc,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix
effect-84,04ce80153924dacaed3e4bb8ee8fa6634e58231d,8e50980bc40e246bc3ee0996f0c3be675a640d8a,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,['LongMethod'],hystrix
effect-84,2b295add9c60c96499c36968c56eb4381eacd16d,d7cff232aea0f5ecd827be6812366ed6c177d759,com.netflix.hystrix.HystrixCommandTest.testObservableTimeoutNoFallbackThreadContext,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix
effect-84,2b295add9c60c96499c36968c56eb4381eacd16d,d7cff232aea0f5ecd827be6812366ed6c177d759,com.netflix.hystrix.HystrixCommandTest.testExecutionKnownFailureWithNoFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix
effect-84,04ce80153924dacaed3e4bb8ee8fa6634e58231d,8e50980bc40e246bc3ee0996f0c3be675a640d8a,com.netflix.hystrix.HystrixCommandTest.testCircuitBreakerAcrossMultipleCommandsButSameCircuitBreaker,"['FeatureEnvy', 'LongMethod']",hystrix
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadPoolQueueFullUnsuccessfulFallback,['LongMethod'],hystrix
effect-84,05ce2a10981606744f658a40c536b457c83e5cd2,d7de465f6b815ef932cad1bc66cee250a8a863c7,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadPoolQueueFullUnsuccessfulFallback,['LongMethod'],hystrix
effect-84,5601488a877cf64d0110e85f62008f4f95619d3a,09949d6ead2b7a95b8c528da50d52a9392b8611c,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,"['FeatureEnvy', 'LongMethod', 'MessageChain', 'DispersedCoupling']",hystrix
effect-84,e4a7a4aa4b984c400de7fc413abe3063132e4ed5,110b6fe3aff63cdec5b00900023ce87147473629,com.netflix.hystrix.HystrixCommandTest.testExecutionSemaphoreWithExecution,"['FeatureEnvy', 'LongMethod']",hystrix
effect-84,157e79669533fa6549090e083914359120269b02,a305f235ebd1a2e8c466886e1d187cf664beea58,com.netflix.hystrix.HystrixCommandTest.testRejectedExecutionSemaphoreWithFallback,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadTimeoutUnsuccessfulFallbackRunSuccess,['LongMethod'],hystrix
effect-84,863d7ab54ad6f91a865ee05cc0111a6fb08e03cf,3f697be05876bb4b3213fa06eb0d1ea3af2f5da6,com.netflix.hystrix.HystrixCommandTest.testExecutionHookThreadTimeoutNoFallbackRunSuccess,['LongMethod'],hystrix
effect-84,ef3735f65b17552a33392b9a27af1f4347a265ec,281add500556b90c52aa5bbea349204deb435fbc,com.netflix.hystrix.HystrixCommandTest.testRejectedThreadWithFallbackFailure,"['FeatureEnvy', 'LongMethod', 'MessageChain']",hystrix
effect-84,6ab45a917991212dce98f209af6aa4f32bb1251a,b0d986944ec5805171d477ee429446c83e54d1ab,com.netflix.hystrix.HystrixCommandTest.testOnRunStartHookThrows,['LongMethod'],hystrix
