compositeID,commit_before,commit_after,element,smellTypes,project,cC,cDISP,cINT,cLOC,changingClasses,changingMethods,classLinesOfCode,couplingDispersion,couplingIntensity,cyclomaticComplexity,isAbstract,lCOM,lCOM2,lCOM3,lackOfCohesionOfMethods,mLOC,maxCallChain,maxNesting,methodLinesOfCode,nOAM,nOAV,numberOfAccessedVariables,numberOfAccessorMethods,overrideRatio,parameterCount,publicFieldCount,tCC,tightClassCohesion,wMC,wOC,weighOfClass,weightedMethodCount,additionalProperties.MethodEffectiveLinesOfCode,additionalProperties.NumberOfFinallyStatements,additionalProperties.ExceptionalLOC,additionalProperties.NumberOfCatchStatements,additionalProperties.NumberOfDummyExceptionHandlers,additionalProperties.NumberOfTryStatements,additionalProperties.NumberOfThrowStatements,additionalProperties.NumberOfTryStatementsWithNoCatchAndFinally,additionalProperties.ThrownExceptionTypesCount
effect-60,7c33691135b96281bccbe063f247b858515f394f,6b857d094f86236e0e75afdf159d6b5142b34e31,"com.netflix.hystrix.contrib.sample.stream.HystrixConfigSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])",['LongMethod'],hystrix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666865348816,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,138.0,3.0,0.0,4.0,1.0,1.0,2.0
effect-60,7c33691135b96281bccbe063f247b858515f394f,6b857d094f86236e0e75afdf159d6b5142b34e31,"com.netflix.hystrix.contrib.sample.stream.HystrixUtilizationSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])",['LongMethod'],hystrix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6666666865348816,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,138.0,3.0,0.0,4.0,1.0,1.0,2.0
effect-60,c0d6d6c85daf60ea9568e88665ba84a571dee1a7,e712bb7c69c18f2acd572650a3364a0869196337,"com.netflix.hystrix.contrib.sample.stream.HystrixSampleSseServlet.handleRequest([HttpServletRequest, HttpServletResponse])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,141.0,3.0,0.0,4.0,1.0,1.0,2.0
effect-399,3404ae10f1ebe98a3a4309f6bef93fcae6db2305,da0028794739248c5127125c88a2e84170538cd3,com.netflix.hystrix.HystrixCommand.execute,"['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999998807907104,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,42.0,2.0,0.0,4.0,7.0,2.0,0.0
effect-399,ac613585b9cca0175fb95298aef6fa54d346cf19,8e0a43c3b1cff012dd4096443d1260242c5be646,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666666865348816,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,55.0,2.0,0.0,3.0,1.0,1.0,0.0
effect-399,52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b,e8f1e1692a0140410a69fe5699ade5cf050eefca,com.netflix.hystrix.HystrixCommand.queue,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,120.0,2.0,0.0,2.0,2.0,0.0,0.0
effect-399,52104a88a4d7a1ad20758f6e66c9704bb8ac9f1b,e8f1e1692a0140410a69fe5699ade5cf050eefca,"com.netflix.hystrix.HystrixCommand.toObservable([Scheduler, boolean])","['FeatureEnvy', 'LongMethod', 'IntensiveCoupling']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46666666865348816,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,54.0,2.0,0.0,3.0,1.0,1.0,0.0
effect-156,3e8cb9418f3715cbb52e468ee4443ecfb01fb03a,2ff16ff5c732cf0c81295eef7f0f86c82b136ea1,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleMultiThreadedRequests,"['FeatureEnvy', 'LongMethod']",hystrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142984867096,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-156,86c37f10de377006b7361813155dcced297cd45c,757c3895b3ac30e81bceae7ba19d6ed6cea50eef,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleSingleThreadedRequests,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333432674408,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
effect-156,86c37f10de377006b7361813155dcced297cd45c,757c3895b3ac30e81bceae7ba19d6ed6cea50eef,com.netflix.hystrix.metric.HystrixCommandEventStreamTest.multipleMultiThreadedRequests,['LongMethod'],hystrix,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333432674408,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
